CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ACUHEM,True,1,3,0,10,1:1
AHIPUD,True,1,2,0,9,1:1
AKUZUE,True,1,3,0,11,1:1
AQAKEJ,True,1,2,0,1,1:1
AREQEU,True,2,3,0,1,1:1
AROLOK,True,2,3,0,10,1:1
AROXEN,True,1,2,0,9,1:1
AROXIR,True,1,2,0,9,1:1
ATERIC,True,2,3,0,10,1:1
ATOKEZ,True,2,3,0,10,1:1
ATOKEZ02,True,2,3,0,10,1:1
AVUYEW,True,2,1,0,1,other_organic
AWUQOY,True,1,3,0,11,1:1
AXANUI,False,0,6,0,12,other_inorganic
AXONOQ,False,0,6,0,12,other_inorganic
AZIXUF,True,1,0,0,12,other_organic
BAJPUY,True,4,1,0,9,other_organic
BANFAB,True,2,3,0,10,1:1
BAQJUC,True,2,2,0,8,1:1
BEFVER,False,0,6,0,12,other_inorganic
BEJFAX,False,0,2,0,8,other_inorganic
BELSOE,True,2,3,0,10,1:1
BEMNOX,True,1,4,1,10,other_organic
BIMHEN,True,2,1,0,10,other_organic
BPNACE,True,1,4,0,11,other_organic
BUTRUD,True,1,3,0,11,1:1
BUXGIL,True,2,3,0,10,1:1
BUYTAS,True,1,3,0,11,1:1
CANBAU,True,1,1,2,9,2:1
CEGFIG,False,0,1,0,5,other_inorganic
CEQFIR,True,1,1,0,1,other_organic
CEXWEL,True,1,3,0,11,1:1
CILKOX,False,0,6,0,12,other_inorganic
CISGOB,True,1,1,0,9,other_organic
COVHAZ,False,0,6,0,12,other_inorganic
DASSAR,True,2,3,0,10,1:1
DAXXEJ,True,2,1,2,10,2:1
DEWQIF,True,2,3,0,1,1:1
DIJZEE,True,1,2,0,10,1:1
DIMZIK,True,1,1,0,3,other_organic
DIZZAO,True,1,1,0,1,other_organic
DOSQEH,True,2,3,0,10,1:1
DURFAY,True,2,3,0,11,1:1
DUXTOI,False,0,6,0,12,other_inorganic
EDUREE,False,0,8,0,2,other_inorganic
EDURII,False,0,6,0,2,other_inorganic
EDUROO,False,0,8,0,2,other_inorganic
EFIZUQ,True,1,3,0,10,1:1
EKEZEB,True,1,2,0,9,1:1
EKIHUD,True,2,1,0,8,other_organic
ENIYIK,True,1,0,0,11,other_organic
ENOJIC,True,1,3,0,10,1:1
EQUYAQ,False,0,1,0,1,other_inorganic
ETOZOE,True,2,1,0,9,other_organic
FABWEM,True,2,3,0,10,1:1
FAHFEZ,True,4,3,0,10,1:1
FEBDOG,True,2,1,1,10,2:1
FEFVUJ,True,1,0,0,11,other_organic
FEZPOR,True,1,3,0,11,1:1
FEZQEI,True,2,2,0,1,1:1
FEZYIW,True,1,3,0,10,1:1
FIDFAZ,True,3,3,0,9,1:1
FILKEQ,True,1,2,1,11,2:1
FIVBAO,True,1,2,1,10,2:1
FOCGIQ,True,1,3,0,12,1:1
FOFPAU,True,4,2,0,8,1:1
FOFPEY,True,3,3,0,9,1:1
FOTXOC,True,2,3,0,12,1:1
GADWOZ,True,3,2,1,9,2:1
GAJXOF,True,1,3,0,11,1:1
GAKBEA,True,1,3,0,10,1:1
GASLAR,True,2,3,0,10,1:1
GAZMIH,True,1,2,0,10,1:1
GEJCAD,True,1,3,0,2,1:1
GEJCEH,True,1,4,0,2,other_organic
GOYLUD,True,1,3,0,12,1:1
