CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ACUJOY,True,1,3,0,10,1:1
ADILAD,True,1,1,1,1,2:1
ADORIW,True,1,3,0,10,1:1
ADOSET,True,1,3,0,10,1:1
ADOVUM,True,1,2,0,9,1:1
AGIZAV,True,1,2,0,9,1:1
AHUXAD,True,1,1,0,2,other_organic
AJOYAA,True,2,2,0,9,1:1
ALABEX,True,1,3,0,10,1:1
AMOJIW,True,1,1,4,9,other_organic
AQEXEB,True,1,2,0,9,1:1
AQEXUR,True,1,2,0,9,1:1
AREQIY,True,1,3,0,1,1:1
AVUYAS,True,2,1,0,1,other_organic
AXAPUK,False,0,5,0,10,other_inorganic
AZAQUP,True,1,3,0,10,1:1
BAFZUE,True,2,2,0,9,1:1
BAWPAS,True,2,3,0,8,1:1
BAWPAS01,True,2,3,0,8,1:1
BEBXEO,True,3,1,0,9,other_organic
BEJYIB,True,1,3,0,9,1:1
BELDIJ,True,1,3,0,2,1:1
BELZAW,True,1,3,0,9,1:1
BELZEA,True,1,3,0,9,1:1
BELZIE,True,1,3,0,9,1:1
BEPHOX,True,1,3,0,9,1:1
BERSAW,True,2,2,0,9,1:1
BEYPUS,True,2,2,1,9,2:1
BIMJAL,True,2,1,0,10,other_organic
BIPFIS,True,1,2,0,9,1:1
BIPFUE,True,1,2,0,9,1:1
BIPJUH,True,1,1,0,9,other_organic
BIPLUK,True,1,3,0,9,1:1
BIQBIP,True,1,2,0,9,1:1
BIXBAO,True,1,2,0,9,1:1
BIXYIS,True,1,2,0,9,1:1
BOBQER,True,1,2,0,9,1:1
BOQROR,True,3,3,0,9,1:1
BOQYUE,True,3,3,0,9,1:1
BORBES,True,4,2,1,8,2:1
BOYZIB,False,0,3,0,9,other_inorganic
BUDDUC,True,1,3,0,10,1:1
BUDFEO,True,1,3,0,10,1:1
BUWTEU,True,1,1,2,9,2:1
CASFEK,True,1,2,0,9,1:1
CASZOO,True,1,2,0,9,1:1
CATBEH,True,1,1,1,9,2:1
CAWYOQ,True,1,4,0,10,other_organic
CAWYUW,True,1,3,0,10,1:1
CEDYAN,True,1,3,0,9,1:1
CEFNIO,True,1,2,0,9,1:1
CEYGEV,True,1,3,0,10,1:1
CEZVAI,False,0,3,0,10,other_inorganic
CIGYOI,True,1,3,0,11,1:1
CIHTIZ,True,1,2,0,9,1:1
COHWEE,True,1,2,0,1,1:1
CUHHEU,True,1,3,0,10,1:1
CUNBIY,True,1,2,0,9,1:1
CUNBIY01,True,1,2,0,9,1:1
DAJRIT,True,2,1,0,9,other_organic
DALCEC,True,1,2,1,9,2:1
DALCIG,True,1,2,0,9,1:1
DAMTAP,True,1,2,0,9,1:1
DARTAU,True,2,3,0,10,1:1
DATRAV,True,1,1,0,8,other_organic
DAYZIO,True,1,3,0,9,1:1
DESTUT,True,4,1,0,2,other_organic
DIBTIR,False,0,3,0,9,other_inorganic
DIYCUK,True,1,3,0,9,1:1
DOYPUE,True,3,1,0,2,other_organic
DOYQAL,True,3,1,0,1,other_organic
DOYXAR,True,1,3,0,10,1:1
DUCQIB,True,1,2,1,9,2:1
DUKPAB,True,1,3,0,10,1:1
DUMXEQ,True,2,1,0,2,other_organic
DUMXEQ01,True,2,1,0,2,other_organic
DUMXIU,True,2,1,0,1,other_organic
DUMXUG,True,2,1,0,2,other_organic
DUZKIT,True,1,0,5,9,3:1
ECABUF,True,2,3,0,10,1:1
ECABUF02,True,2,3,0,10,1:1
EDUGOD,True,2,1,0,8,other_organic
EFIYID,True,1,1,0,1,other_organic
EFOBAE,True,1,3,0,10,1:1
ELUKOO,True,1,2,0,9,1:1
ELUNEH,True,1,3,0,10,1:1
EMATAP,True,1,3,0,10,1:1
EMOPED,True,1,2,0,9,1:1
EQINIE,True,1,1,0,9,other_organic
EQITUV,True,1,2,1,10,2:1
ETAQOH,True,2,1,0,8,other_organic
ETUSOD,True,3,1,0,8,other_organic
EVADAI,True,2,3,0,10,1:1
EVAFUE,True,1,1,2,9,2:1
