CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ACUKAL,True,1,3,0,10,1:1
ADORUI,True,1,3,0,10,1:1
ADOSOD,True,1,3,0,10,1:1
AHEHEB,True,2,1,1,8,2:1
AJOYII,True,2,2,0,9,1:1
ANENEP,True,2,3,0,10,1:1
AREZIH,True,2,2,2,8,2:1
ARIMUK,True,2,2,1,9,2:1
AXAQEV,False,0,5,0,10,other_inorganic
AXOPEI,False,0,3,3,9,other_inorganic
BACMOL,True,1,3,0,10,1:1
BAGBER,True,2,2,0,9,1:1
BANFUV,True,2,3,0,10,1:1
BAWPEW,True,2,3,0,8,1:1
BAYXUW,True,2,1,0,9,other_organic
BEPHUD,True,1,3,0,9,1:1
BEYRII,True,2,2,1,9,2:1
BIDMUX,True,3,3,0,9,1:1
BIKQAQ,True,2,2,0,9,1:1
BIPFOY,True,1,2,0,9,1:1
BIPGAL,True,1,2,0,9,1:1
BIPGEP,True,1,2,0,9,1:1
BIPGIT,True,1,2,0,9,1:1
BIPMEV,True,1,3,0,9,1:1
BIQBOV,True,1,2,0,9,1:1
BIXLEB,True,1,2,0,9,1:1
BIZFOF,True,2,3,0,9,1:1
BOBRAO,True,1,2,0,9,1:1
BOVJAZ,True,1,1,0,1,other_organic
BOWXOA,False,0,5,0,10,other_inorganic
BOYTUG,True,2,3,0,10,1:1
BUCGUE,True,1,3,0,9,1:1
BUCHIT,True,1,2,1,9,2:1
CASZUU,True,1,2,0,9,1:1
CATBIL,True,1,1,1,9,2:1
CAVLOE,True,2,1,0,9,other_organic
CIDKAB,True,3,3,0,9,1:1
CIGYIC,True,1,1,2,9,2:1
CIMDIP,True,2,2,0,9,1:1
COHWOO,True,1,2,0,1,1:1
COYPEO,True,1,3,0,10,1:1
DAJRUF,True,2,1,0,9,other_organic
DAMQEQ,True,1,2,0,9,1:1
DATVIH,True,1,1,0,8,other_organic
DIBTAJ,True,3,3,0,9,1:1
DIYDAR,True,1,3,0,9,1:1
DMSERN10,False,0,3,0,6,other_inorganic
DOCKAK,True,2,2,1,8,2:1
DOGKEP,True,2,3,0,9,1:1
DUCQUN,True,1,2,1,9,2:1
DUHKEX,True,1,3,0,10,1:1
DULMON,True,2,2,0,9,1:1
DULMUT,True,1,3,0,10,1:1
DUVXUO,True,2,3,0,9,1:1
EFOBEI,True,1,3,0,10,1:1
EKEVAT,True,2,1,0,1,other_organic
ELIYII,True,2,3,0,1,1:1
ELUKII,True,1,2,0,9,1:1
ETUTAQ,True,3,1,0,8,other_organic
EXATAY,True,2,3,0,10,1:1
FAZQEC,True,2,3,0,9,1:1
GABDUL,True,1,3,0,10,1:1
GAJZEX,True,1,3,0,10,1:1
GAKCUR,True,1,3,0,10,1:1
GEGXOF,True,1,3,0,9,1:1
GEMKAL,True,2,3,0,10,1:1
GEMKAL01,True,2,3,0,10,1:1
GEMVIG,True,1,1,1,9,2:1
GEXREI,True,1,2,0,2,1:1
GIQDIV,True,2,1,0,9,other_organic
GIQDUH,True,1,3,0,9,1:1
GOBQUL,True,2,2,0,1,1:1
GUKPUY,True,1,3,0,10,1:1
GUSMIR,True,1,3,0,9,1:1
GUVHUC,True,2,2,2,9,2:1
GUVJAK,True,2,2,0,10,1:1
HALNOA,True,3,1,0,3,other_organic
HALNOA01,True,3,1,0,1,other_organic
HANYII,True,1,0,0,10,other_organic
HAYFAQ,True,2,3,0,10,1:1
HAYFAQ01,True,2,3,0,10,1:1
HEMJUI,False,0,5,0,10,other_inorganic
HEMLUK,False,0,5,0,10,other_inorganic
HENRUQ,False,0,5,0,10,other_inorganic
HEQBEL,True,3,3,0,9,1:1
HITPIN,True,1,3,0,10,1:1
HIVZIW,True,1,3,0,9,1:1
HIYYUL,True,1,3,0,9,1:1
HMTERC10,False,0,1,0,9,other_inorganic
IDILUE,True,2,3,0,10,1:1
IMAHAI,True,1,2,0,9,1:1
IMAJAK,True,1,2,0,9,1:1
IMAJUE,True,1,2,0,9,1:1
ITUCIM,True,1,3,0,10,1:1
IWUTOK,True,1,3,0,10,1:1
IXUKIW,True,3,3,0,9,1:1
IYIHUT,True,1,1,0,8,other_organic
IYUJEU,True,1,0,0,10,other_organic
JAGJAD,True,1,2,1,9,2:1
JAJYAV,True,1,3,0,9,1:1
JAPZIM,True,2,1,0,2,other_organic
JITJAX,True,2,3,0,9,1:1
JOKJIE,False,0,4,0,8,other_inorganic
JOQTIS,True,1,3,0,9,1:1
KABZUM,True,3,1,0,8,other_organic
KEDTOE,True,2,3,0,9,1:1
KEDVEW,True,2,2,0,8,1:1
KESHOH,True,3,3,0,9,1:1
KODFUG,True,1,3,0,9,1:1
KOGHIY,True,1,1,0,8,other_organic
KUCRAE,True,1,1,2,8,2:1
KUNTAP,True,1,1,0,9,other_organic
KUVYIM,True,1,3,0,10,1:1
LAQPOM,True,1,2,0,10,1:1
LEGCUW,True,1,3,0,10,1:1
LEYJII,False,0,3,0,9,other_inorganic
LICXIF,True,1,0,3,9,3:1
LOHSEG,True,1,3,0,9,1:1
LOQTOB,True,1,3,0,1,1:1
MABMEJ,True,1,3,0,10,1:1
MALLEQ,True,1,3,0,10,1:1
MALNIY,True,1,0,2,9,3:1
MEJBEL,True,2,3,0,8,1:1
MEPXOV,True,2,3,0,9,1:1
MIMKEB,True,3,1,0,8,other_organic
MIMKOL,True,3,1,0,8,other_organic
MIQCAU,True,1,3,0,10,1:1
MUCSEJ,True,2,3,0,10,1:1
NAFFIK,True,1,2,1,10,2:1
NEGSAU,True,1,3,0,10,1:1
NEPQAC,False,0,2,0,8,other_inorganic
NIMQEF,True,1,3,0,9,1:1
NINBUI,True,3,3,0,9,1:1
NIQDAU,True,1,2,1,10,2:1
NOFBES,True,2,3,0,9,1:1
NUTZIM,True,1,1,0,8,other_organic
OCEKAL,True,1,3,0,10,1:1
OCOFEU,False,0,3,0,9,other_inorganic
OGIBEM,True,2,1,0,9,other_organic
OLIGAS,True,1,3,0,10,1:1
ONONAI,True,2,2,0,9,1:1
PEVSIW,True,3,1,0,8,other_organic
POLMOT,True,1,1,0,2,other_organic
POTDUZ,True,3,3,0,9,1:1
POYKUJ,False,0,2,0,8,other_inorganic
PUCXIV,True,1,0,0,10,other_organic
QAQPEF,True,1,2,1,10,2:1
