CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ABIQIM,True,1,0,0,9,other_organic
ACAYEK,True,1,3,0,10,1:1
ACUJAK,True,1,3,0,10,1:1
ADEWIS,True,1,1,1,1,2:1
AGIYIC,True,1,2,0,9,1:1
AHUWUW,True,1,1,0,2,other_organic
AMEWEU,True,2,3,0,10,1:1
AMOHUG,True,1,1,4,9,other_organic
AMOJUI,True,1,2,1,10,2:1
ANIGEK,True,1,2,2,10,2:1
AQAQUG,True,2,1,0,9,other_organic
AROMEB,True,2,3,0,10,1:1
ATIMOH,True,1,2,0,2,1:1
ATIMUN,True,1,2,0,1,1:1
AWAKOB,True,2,2,1,10,2:1
AXAPIY,False,0,5,0,10,other_inorganic
AZIXOZ,True,2,1,1,8,2:1
AZOFIH,True,2,2,1,9,2:1
BAFCAO,False,0,3,0,9,other_inorganic
BAFZEO,True,2,2,0,9,1:1
BAGLUU,True,2,1,0,8,other_organic
BAGMAB,True,2,1,0,8,other_organic
BAMZEX,True,1,3,0,10,1:1
BAMZOH,True,1,3,0,10,1:1
BANFOP,True,2,3,0,10,1:1
BAWNUK,True,2,3,0,8,1:1
BEKWUJ,True,1,3,0,11,1:1
BEZJEZ,False,0,3,0,9,other_inorganic
BIWFUI,True,1,3,0,10,1:1
BOQYOY,True,4,2,1,8,2:1
BOQZOZ,True,4,2,1,8,2:1
BOVJII,True,1,1,1,2,2:1
BOWQUA,True,1,3,0,1,1:1
BUCGEO,True,1,2,1,9,2:1
BULMUT,True,2,3,0,10,1:1
BUSSOZ,True,1,1,0,2,other_organic
CAFFAU,True,1,1,0,9,other_organic
CAKLIL,True,2,1,0,10,other_organic
CANCAV,True,1,1,2,9,2:1
CASFAG,True,1,2,0,9,1:1
CEYRON,True,1,3,0,10,1:1
CIGZEZ,True,1,3,0,11,1:1
CIMWII,True,1,3,0,9,1:1
COHVON,True,1,2,0,1,1:1
COPWOU,True,1,1,0,9,other_organic
DADMAX,True,2,3,0,10,1:1
DARZUT,True,1,3,0,10,1:1
DAWLOE,True,1,1,0,1,other_organic
DEDPOS,True,1,2,0,9,1:1
DEFZAR,True,1,3,0,10,1:1
DEGLAF,True,2,1,0,1,other_organic
DEMPUJ,True,1,3,0,10,1:1
DEMQAQ,True,1,3,0,10,1:1
DESVAB,True,4,1,0,2,other_organic
DIFHIJ,True,2,1,0,10,other_organic
DIGMIP,True,4,1,0,8,other_organic
DIKXOL,False,0,2,0,8,other_inorganic
DIPDAK,True,2,1,2,10,2:1
DIPJUJ,True,1,1,0,1,other_organic
DIQBOU,True,1,2,0,10,1:1
DIVKOJ,True,2,1,0,2,other_organic
DIWNOM,True,1,2,1,10,2:1
DIWNOM01,True,1,2,1,10,2:1
DIYCOE,True,1,3,0,1,1:1
DOXZOG,True,1,3,0,9,1:1
DOYWUK,True,1,3,0,10,1:1
DUCNAQ,True,1,2,1,9,2:1
