CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ABOZIC,True,2,1,2,8,2:1
ABOZOI,True,2,1,2,8,2:1
ACUJEO,True,1,3,0,10,1:1
ADEWOY,True,1,1,1,1,2:1
AGIYOI,True,1,2,0,9,1:1
AHICID,True,1,1,1,8,2:1
AHICUP,True,1,1,1,8,2:1
AHIQIS,True,1,1,0,9,other_organic
AHOJEO,True,1,1,0,8,other_organic
AHOJOY,True,2,1,0,8,other_organic
AJOYOO,True,2,2,0,9,1:1
ALABAT,True,1,3,0,10,1:1
AMOJAO,True,1,1,4,9,other_organic
AMOKAP,True,1,2,1,10,2:1
ARINAR,True,2,2,1,9,2:1
AROMIF,True,2,3,0,10,1:1
AWUQUE,True,1,3,0,11,1:1
AYUHUZ,True,1,3,0,10,1:1
BAFZIS,True,2,2,0,9,1:1
BAQLEM,True,1,2,0,9,1:1
BAQLIQ,True,1,2,0,9,1:1
BAYXAC,True,2,1,0,9,other_organic
BEBXAK,True,3,1,0,9,other_organic
BELDEF,True,1,3,0,2,1:1
BERSEA,True,2,2,0,9,1:1
BIMHOX,True,2,1,0,10,other_organic
BINTUP,True,1,1,0,9,other_organic
BIXLAX,True,1,2,0,9,1:1
BIYKAW,True,2,1,0,10,other_organic
BOVFAW,True,1,1,0,8,other_organic
BOVJOO,True,1,1,0,1,other_organic
BUFLEV,True,1,1,0,9,other_organic
BUGQAX,True,3,3,0,9,1:1
BULNAY,True,1,3,0,9,1:1
BULNEC,True,1,3,0,9,1:1
BUXHEI,True,2,3,0,10,1:1
BUXYUP,True,1,3,0,10,1:1
BUXZAW,True,1,3,0,10,1:1
CAFHUP,True,1,2,0,9,1:1
CAVLIY,True,2,1,0,9,other_organic
CAXLAS,True,1,3,0,10,1:1
CAZGAN,True,1,1,3,9,other_organic
CEHRUF,True,2,3,0,10,1:1
CEPKEP,True,1,3,0,10,1:1
CEYGIZ,True,1,3,0,10,1:1
CIGZAV,True,1,3,0,11,1:1
CINNAR,True,1,1,1,9,2:1
COHVUT,True,1,2,0,1,1:1
COPTOS,True,1,3,0,10,1:1
COPWUA,True,1,1,0,9,other_organic
DAFZOD,True,2,1,0,8,other_organic
DAGBOG,True,1,2,1,9,2:1
DAGCEX,True,1,2,0,9,1:1
DAJREP,True,2,1,0,9,other_organic
DAWMEV,True,1,1,0,1,other_organic
DEFYOE,True,1,3,0,10,1:1
DESTON,True,4,1,0,2,other_organic
DIQBIO,True,2,1,0,10,other_organic
DIYDEV,True,1,3,0,1,1:1
DOFMUH,True,1,3,0,10,1:1
DOFVUQ,True,2,1,0,8,other_organic
DOJZOR,True,2,3,0,11,1:1
DOSVOX,True,1,3,0,9,1:1
DUCQAT,True,1,2,1,9,2:1
EJIPIW,True,1,3,0,10,1:1
ELEBAA,True,1,0,0,2,other_organic
ELUKIF,False,0,5,0,10,other_inorganic
EMUCOG,True,1,2,0,9,1:1
EQESAX,False,0,3,0,10,other_inorganic
EQUNOU,True,1,3,0,10,1:1
ERIREC,True,1,3,0,9,1:1
ETAZIL,True,2,1,0,8,other_organic
ETAZIL01,True,2,1,0,8,other_organic
ETUQUI,True,2,1,0,8,other_organic
EVULAJ,True,1,1,0,10,other_organic
EXATIG,True,1,3,0,10,1:1
EZAPAW,True,1,3,0,10,1:1
FAKKAG,True,1,1,0,1,other_organic
FAKLIN,True,1,1,0,1,other_organic
FAKLOT,True,1,3,0,10,1:1
FANZUR,True,3,1,0,9,other_organic
FECGED,True,1,1,0,1,other_organic
FEGCUR,True,2,2,0,9,1:1
FOKWAF,True,2,1,0,1,other_organic
GADXIU,True,3,2,1,9,2:1
GAKCAX,True,1,3,0,10,1:1
GALZUR,True,2,1,0,8,other_organic
GANFIL,True,1,3,0,10,1:1
GASLOF,True,2,3,0,10,1:1
GAWPOL,True,1,2,0,9,1:1
GEPFEQ,True,2,3,0,1,1:1
GIBTAM,True,2,3,0,9,1:1
GIMYEK,True,1,3,0,9,1:1
GIRKUN,True,1,3,0,9,1:1
GOCFEL,True,2,2,0,1,1:1
GODMER,True,1,2,1,10,2:1
GODMER01,True,1,2,1,10,2:1
GODPOF,True,1,3,0,9,1:1
GODPUL,True,1,2,1,9,2:1
GODQIA,True,1,3,0,9,1:1
GODQOG,True,1,2,0,9,1:1
GOSRUD,True,1,5,0,10,other_organic
GUHNAB,True,1,1,0,1,other_organic
HALDUW,True,2,1,2,10,2:1
HANXUT,True,1,0,0,10,other_organic
HATHUH,True,2,2,1,9,2:1
HATJAP,True,1,4,0,10,other_organic
HAVLUN,True,2,3,0,10,1:1
HEDMIM,True,1,0,0,9,other_organic
HEMKOD,False,0,5,0,10,other_inorganic
HEMMEV,False,0,5,0,10,other_inorganic
HEMVUT,True,2,3,0,10,1:1
HEPZIM,True,3,3,0,9,1:1
HETGAR,True,1,2,1,9,2:1
HETGIZ,True,1,2,1,9,2:1
HEVDAR,True,3,3,0,9,1:1
HEVDIZ,True,3,3,0,9,1:1
HEVFAT,True,3,3,0,9,1:1
HEVFUN,True,3,3,0,9,1:1
HEVGEY,True,3,3,0,9,1:1
HEWPUX,True,1,2,0,10,1:1
HIVNAB,True,1,2,0,9,1:1
