CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ACUJUE,True,1,3,0,10,1:1
ADEWUE,True,1,1,1,1,2:1
ADONIQ,True,1,3,0,9,1:1
ADOROC,True,1,3,0,10,1:1
ADOSIX,True,1,3,0,10,1:1
AJOYEE,True,2,2,0,9,1:1
AXAQAR,False,0,5,0,10,other_inorganic
BAGBAN,True,2,2,0,9,1:1
BAMNEM,True,1,1,0,1,other_organic
BAYXOQ,True,2,1,0,9,other_organic
BEBXIS,True,3,1,0,9,other_organic
BEYPOM,True,2,2,1,9,2:1
BIPMAR,True,1,3,0,9,1:1
BIXKUQ,True,1,2,0,9,1:1
BONTON,False,0,3,0,9,other_inorganic
BONTON02,False,0,3,0,9,other_inorganic
BOVHUR,True,1,1,0,1,other_organic
CAQFUV,True,1,3,0,9,1:1
CEHSAM,True,2,3,0,10,1:1
CEJGAA,False,0,3,0,9,other_inorganic
CEVCUE,True,3,3,0,9,1:1
CEVCUE01,True,3,3,0,9,1:1
COCGIN,True,1,2,0,9,1:1
COHWAA,True,1,2,0,1,1:1
DAJROZ,True,2,1,0,9,other_organic
DATVED,True,1,1,0,8,other_organic
DUCQOH,True,1,2,1,9,2:1
ECOZUT,True,1,3,0,10,1:1
EFASIQ,True,1,2,1,9,2:1
EFOCEJ,True,1,3,0,10,1:1
EMAMEK,False,0,1,0,8,other_inorganic
EMATIX,True,1,3,0,10,1:1
EZUMIX,True,2,1,0,2,other_organic
GAJZAT,True,1,3,0,10,1:1
GAKCOL,True,1,3,0,10,1:1
GASMAS,True,2,3,0,10,1:1
GAWQAY,True,1,2,0,9,1:1
GELPET,True,1,3,0,10,1:1
GEZXOA,True,2,3,0,10,1:1
GIMXUZ,True,1,3,0,9,1:1
GIQDOB,True,2,1,0,9,other_organic
GOBQOF,True,2,2,0,1,1:1
GOGJET,True,2,3,0,10,1:1
GUHNEF,True,1,1,0,1,other_organic
HAXZOX,True,2,3,0,10,1:1
HEMKAP,False,0,5,0,10,other_inorganic
HEMMAR,False,0,5,0,10,other_inorganic
HEQBAH,True,3,3,0,9,1:1
HEQCOW,True,2,3,0,10,1:1
HODYUX,True,2,1,0,8,other_organic
HUGPOO,True,1,1,2,8,2:1
HUPVEV,True,1,3,0,1,1:1
IDAZOE,False,0,2,0,8,other_inorganic
ITONEN,True,2,2,0,1,1:1
IWUSID,True,1,3,0,9,1:1
IXUKUI,True,3,3,0,9,1:1
IYUJAQ,True,1,0,0,10,other_organic
JAPZEI,True,2,1,0,2,other_organic
JORJUY,True,2,3,0,10,1:1
JORMUB,True,2,3,0,10,1:1
KAWJUQ,True,3,1,0,1,other_organic
KITQAH,True,1,2,0,10,1:1
KUNSUI,True,1,1,0,9,other_organic
LEGCOQ,True,1,3,0,10,1:1
LEYJEE,False,0,3,0,9,other_inorganic
LICFAI,True,1,1,0,9,other_organic
LIRCUN,True,2,1,0,1,other_organic
MABMAF,True,1,3,0,10,1:1
MALKOZ,True,2,2,0,10,1:1
MALKUF,True,1,3,0,10,1:1
MEJBAH,True,2,2,0,10,1:1
MIMJIE,True,3,1,0,8,other_organic
MIMJUQ,True,3,1,0,8,other_organic
MIPYIX,True,1,3,0,10,1:1
MITRIT,False,0,2,0,9,other_inorganic
MOKYIW,True,1,3,0,10,1:1
MUQHAI,True,1,1,0,9,other_organic
NAFFEG,True,1,2,1,10,2:1
NIQDOI,True,1,2,1,10,2:1
NUTZEI,True,1,1,0,8,other_organic
NUVXOU01,True,2,0,0,8,other_organic
OCEJUE,True,1,3,0,10,1:1
OKUGOR,True,2,1,0,1,other_organic
PEHPAU,True,2,1,0,2,other_organic
PODRUY,True,3,1,0,8,other_organic
PODSEJ,True,3,1,0,8,other_organic
POSJAK,True,3,3,0,9,1:1
POTFOV,True,3,3,0,9,1:1
POTGUB,True,1,2,0,1,1:1
QAQPAB,True,1,2,1,10,2:1
QAWTAL,True,1,3,0,18,1:1
QOZVOQ,True,2,1,2,9,2:1
RAQDAO,False,0,3,0,9,other_inorganic
RIVPOD,True,1,1,2,9,2:1
RIYLIX,False,0,5,0,10,other_inorganic
ROZZOW,True,2,2,0,10,1:1
SAQDOE,True,1,3,0,10,1:1
SAYZUR,True,2,1,1,10,2:1
SEMTOW,True,2,3,0,10,1:1
SIJBOE,True,1,2,0,9,1:1
SINPOY,True,1,1,0,9,other_organic
SITXEA,True,1,2,0,1,1:1
SUSJOI,True,1,3,0,1,1:1
TEMQUZ,True,1,2,0,9,1:1
TEYXUS,True,2,3,0,8,1:1
TIJPEL,False,0,5,0,10,other_inorganic
TINMUC,True,1,2,0,9,1:1
TUPVIM,True,1,3,0,1,1:1
UBEMAR,True,2,3,1,8,1:1
UBENEW,True,1,1,1,8,2:1
UDEZOT,True,1,2,1,10,2:1
UKAQIG,True,2,2,1,9,2:1
UXAWUN,True,1,1,0,1,other_organic
VIBLAV,True,1,3,0,9,1:1
VITVON,True,1,3,0,10,1:1
VITWAA,True,1,3,0,9,1:1
VOGPIT,True,2,1,0,9,other_organic
VOHCON,True,1,3,0,10,1:1
WABZEG,True,2,3,0,10,1:1
WAGJIB,True,3,3,0,9,1:1
WOZBAQ,True,1,1,0,1,other_organic
WUGYEE,True,1,3,0,9,1:1
WUPDUH,True,3,3,0,9,1:1
XAWKEN,True,1,2,0,9,1:1
XAWKOX,True,1,2,0,9,1:1
XAWVOG,True,1,2,1,9,2:1
XEYHAM,True,1,1,0,1,other_organic
XEYJUK,True,2,1,0,9,other_organic
XIBPOR,True,2,2,1,9,2:1
XUHMAR,True,1,3,0,10,1:1
YISGUD,True,1,2,1,9,2:1
YIXBUE,True,1,2,0,9,1:1
YOBJUX,True,2,1,1,8,2:1
YOCYIZ,True,2,3,0,10,1:1
YOQREC,True,1,2,0,9,1:1
ZOHKOY,True,1,3,0,9,1:1
ZOLBEK,False,0,3,0,10,other_inorganic
XOLYUW,True,1,1,0,1,other_organic
