CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ACUGIP,True,1,3,0,11,1:1
ACUGOV,True,1,3,0,10,1:1
ACUHAI,True,1,3,0,10,1:1
ADUCIN,False,0,6,0,12,other_inorganic
ADURAV,True,2,2,1,10,2:1
AGIVOF,True,1,2,0,1,1:1
AHILIP,True,2,1,0,8,other_organic
AHUVAB,True,2,3,0,10,1:1
AJIPEP,True,1,4,0,15,other_organic
ALIRIX,True,1,2,1,11,2:1
ALIROD,True,1,2,0,11,1:1
ALIRUJ,True,1,2,1,11,2:1
ANAJUX,True,2,1,0,3,other_organic
APBNLA,True,1,3,0,11,1:1
APBNLA01,True,1,3,0,11,1:1
AQAKIN,True,1,3,0,1,1:1
AQEXAX,True,1,2,0,10,1:1
AQEXIF,True,1,3,0,10,1:1
AROLEA,True,2,3,0,10,1:1
AWAKER,True,2,3,0,12,1:1
AWITAE,True,1,1,0,3,other_organic
AXONUW,False,0,6,0,12,other_inorganic
AZATUQ,False,0,1,0,9,other_inorganic
AZIRIM,True,2,3,0,10,1:1
BAFYIR,True,2,2,0,10,1:1
BANDUT,True,2,3,0,10,1:1
BAWNEU,True,2,3,0,9,1:1
BAYVUU,True,2,1,0,9,other_organic
BEBWUD,True,3,1,0,9,other_organic
BECSIM,True,1,3,0,1,1:1
BECTEJ,True,1,2,1,2,2:1
BENBII,True,1,3,0,10,1:1
BEQPOC,True,2,3,0,10,1:1
BERSIB,True,1,3,0,2,1:1
BEVHOA,True,2,1,0,8,other_organic
BICVEP,True,2,3,0,1,1:1
BIGGED,False,0,3,0,9,other_inorganic
BIMHAJ,True,2,1,0,10,other_organic
BIMJEP,True,2,1,0,10,other_organic
BIZKEC,True,2,3,0,10,1:1
BIZTIN,True,1,3,0,11,1:1
BOBKOT,True,1,3,0,10,1:1
BOQRUX,True,3,3,0,9,1:1
BORZEN10,True,1,3,0,11,1:1
BOTFIA,False,0,5,0,1,other_inorganic
BOYZOH,False,0,6,0,9,other_inorganic
BUBXED,True,2,1,2,10,2:1
BUSSAL,True,1,1,0,1,other_organic
BUXGEH,True,2,3,0,10,1:1
BUZHUB,True,1,3,0,11,1:1
CABLAS,True,1,3,0,11,1:1
CABLAS01,True,1,3,0,11,1:1
CAPWAS,True,2,3,0,1,1:1
CAQDUT,True,1,1,1,10,2:1
CASYED,True,1,3,0,1,1:1
CATDAD,True,4,2,0,8,1:1
CEQGOV,False,0,2,1,10,other_inorganic
CERYUW,True,2,2,1,10,2:1
CEXWIP,True,1,3,0,11,1:1
CIMTOK,True,1,3,0,11,1:1
CIWFEV,True,1,3,0,1,1:1
CIWKEA,True,2,3,0,12,1:1
COKVAZ01,True,1,2,0,12,1:1
COQHIZ,True,1,3,0,1,1:1
CUBMES,True,2,3,0,10,1:1
CUCWIG,True,1,7,0,11,other_organic
CUGXIO,False,0,6,0,12,other_inorganic
CUXFEH,True,1,5,0,11,other_organic
DAXXAF,True,2,1,2,10,2:1
DAYMOG,True,2,3,0,10,1:1
DEDXET,True,2,3,0,10,1:1
DEHPOV,True,1,3,0,12,1:1
DEWQEB,True,2,3,0,1,1:1
DIGJOS,True,1,2,0,11,1:1
DMSOLA01,False,0,3,0,10,other_inorganic
DMSOLA10,False,0,3,0,10,other_inorganic
DMSOLA11,False,0,3,0,10,other_inorganic
DOYXOF,True,1,3,0,1,1:1
DUBWEC,True,1,3,0,11,1:1
DUCBOS,True,1,3,0,10,1:1
DUVXOI,True,3,3,0,10,1:1
EGAXEP,True,1,3,0,11,1:1
EHEROB,False,0,3,0,10,other_inorganic
EKIJOA,True,1,1,0,12,other_organic
ELUSAF,True,3,3,0,12,1:1
EMUCEW,True,1,3,0,11,1:1
EPAILA,True,1,3,0,12,1:1
EPAILA10,True,1,3,0,12,1:1
EPIBIR,True,1,3,0,10,1:1
EQIVUX,True,1,2,0,10,1:1
EQUNUA,True,1,3,0,10,1:1
ERAYEB,True,1,3,0,10,1:1
ETAVAW,True,3,3,0,9,1:1
EVUFEG,True,2,3,0,10,1:1
EXASIF,True,1,3,0,11,1:1
