CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ACUKUF,True,2,3,0,9,1:1
ACULAM,True,1,3,0,9,1:1
ACULEQ,True,1,2,1,9,2:1
AHICOJ,True,1,1,1,8,2:1
ARIBEJ,True,2,2,0,8,1:1
AXAQUL,False,0,5,0,10,other_inorganic
BAGBUH,True,2,2,0,9,1:1
BAJJIG,True,1,1,1,8,2:1
BANGEG,True,2,3,0,10,1:1
BAWPIA,True,2,3,0,8,1:1
BAYYIL,True,2,1,0,9,other_organic
BIDNEI,True,3,3,0,9,1:1
BOYLIM,True,2,3,0,10,1:1
CEYFOE,True,1,2,1,9,2:1
COPXAH,True,1,1,0,8,other_organic
DAJSIU,True,1,3,0,9,1:1
DUCSOJ,True,1,2,1,9,2:1
EFIZEY,True,1,3,0,9,1:1
EFIZOI,True,2,3,0,9,1:1
EFOBAC,True,2,2,1,9,2:1
FEWKEX,True,3,3,0,9,1:1
FEWQOO,True,1,3,0,9,1:1
GAJZUN,True,1,3,0,9,1:1
GAKDIG,True,1,3,0,10,1:1
GELPIX,True,1,2,1,8,2:1
HAGJUW,True,1,3,0,1,1:1
HEDTAL,True,1,2,0,10,1:1
HELGUA,False,0,3,0,9,other_inorganic
HEMJAO,False,0,5,0,10,other_inorganic
HEQBUB,True,3,3,0,9,1:1
HEQCUC,True,1,3,0,9,1:1
HIDGEK,True,1,2,1,9,2:1
HIDGIO,True,1,1,2,9,2:1
HIDGOU,True,1,3,0,10,1:1
HIVGAY,True,1,2,1,9,2:1
HODZAE,True,2,1,0,8,other_organic
ICOLUJ,False,0,2,0,8,other_inorganic
IMEMUL,True,2,2,1,8,2:1
IYUJUK,True,1,0,0,10,other_organic
JACRUE,True,3,1,0,8,other_organic
JACSAL,True,3,1,0,8,other_organic
JEQFIY,True,1,3,0,9,1:1
JIWFED,True,1,3,0,1,1:1
KEQCIV,True,1,3,0,9,1:1
KEQCOB,True,1,3,0,10,1:1
KEQCUH,True,1,2,0,9,1:1
LARSII,True,2,1,4,8,other_organic
LAXDAT,True,2,2,0,2,1:1
LEGDEH,True,1,2,1,10,2:1
LEYJUU,False,0,3,0,9,other_inorganic
NAFGAD,True,1,2,1,10,2:1
NAZTOX,True,1,2,2,9,2:1
NDMSLU,False,0,3,0,9,other_inorganic
NDMSLU01,False,0,3,0,9,other_inorganic
NUVBAI,True,1,1,0,8,other_organic
OQOCEF,True,2,1,0,1,other_organic
OQOCOP,True,2,1,0,1,other_organic
PAYLUY,False,0,2,0,8,other_inorganic
PIDCEM,True,3,0,2,9,3:1
PODSAF,True,3,1,0,8,other_organic
POHDIZ,True,1,3,0,9,1:1
POSQIY,True,1,2,0,9,1:1
QABJAE,True,1,3,0,9,1:1
QIWMAN,True,3,1,0,8,other_organic
QOJMEH,True,4,2,1,8,2:1
RADRIX,True,2,3,0,10,1:1
RADRIX01,True,2,3,0,10,1:1
RADROD,True,2,3,0,10,1:1
ROZZUC,True,2,2,0,8,1:1
SIVPOE,True,2,3,0,8,1:1
TADGOY,True,2,3,0,9,1:1
TIJPUB,False,0,5,0,10,other_inorganic
UDIBIT,True,1,2,1,10,2:1
UDUWIA,True,1,3,0,10,1:1
UNORAT,True,1,2,1,9,2:1
UNOREX,True,1,2,1,8,2:1
UNORIB,True,1,2,1,8,2:1
UWEDUW,True,1,2,1,9,2:1
UXAKAH,True,1,1,0,1,other_organic
VOHDII,True,1,3,0,9,1:1
VOQDAH,True,1,3,0,10,1:1
WACCIO,True,1,3,0,9,1:1
WAGKOI,True,3,3,0,9,1:1
WAVNOW,True,1,1,1,8,2:1
WOYCEV,True,1,3,0,9,1:1
XAWVAS,True,1,2,1,9,2:1
XEBWEG,True,1,3,0,9,1:1
XUBBUT,True,1,2,0,2,1:1
YIDWAK,True,1,2,2,9,2:1
ZAZNEV,True,1,1,0,8,other_organic
ZERMUG,True,2,1,0,1,other_organic
ZOLBUA,False,0,3,0,10,other_inorganic
BODRIZ,True,1,3,0,9,1:1
