CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ACADUE,True,3,3,0,9,1:1
ACUHOW,True,1,3,0,10,1:1
ADEXAL,True,1,1,1,1,2:1
AGIWAS,True,1,2,0,1,1:1
AGUGAL,True,1,0,1,11,3:1
ANTNND10,True,3,3,0,9,1:1
AROLUQ,True,2,3,0,10,1:1
ATERUO,True,2,3,0,10,1:1
AWAKIV,True,2,2,1,10,2:1
AXAPAQ,False,0,5,0,10,other_inorganic
AXOPAE,False,0,6,0,12,other_inorganic
AYEJAP,True,1,3,0,10,1:1
AZASOJ,True,2,2,1,9,2:1
AZIROS,True,2,3,0,10,1:1
BAFYUD,True,2,2,0,9,1:1
BAGFEU,False,0,2,0,10,other_inorganic
BAMZIZ,True,2,1,2,8,2:1
BAMZOF,True,2,1,2,10,2:1
BAMZUL,True,2,1,3,8,other_organic
BANFIJ,True,2,3,0,10,1:1
BAWDIM10,True,1,3,0,10,1:1
BAWDIM11,True,1,3,0,11,1:1
BAWNIY,True,2,3,0,9,1:1
BERSOH,True,1,3,0,2,1:1
BEXQIE,False,0,5,0,11,other_inorganic
BIMHIR,True,2,1,0,10,other_organic
BIVBAJ10,True,1,1,0,11,other_organic
BIVSEE,True,1,4,0,11,other_organic
BOCVOH,True,1,3,0,11,1:1
BOCWAU,True,1,2,1,11,2:1
BOTJOJ,True,1,3,0,10,1:1
BOTNUU,True,1,1,0,1,other_organic
BUCGIS,True,1,2,1,9,2:1
BUXGUX,True,2,3,0,10,1:1
BUYTEW,True,1,3,0,10,1:1
CABLEW,True,1,3,0,11,1:1
CAFHOJ,True,1,3,0,10,1:1
CANBOI,True,1,1,2,9,2:1
CAQFIJ,True,1,4,0,11,other_organic
CAWCEI,True,1,3,0,13,1:1
CERZIL,True,2,1,2,10,2:1
CIQZIL,True,2,3,0,10,1:1
CIQZOR,True,2,3,0,10,1:1
CIWSIL,False,0,2,0,8,other_inorganic
COHXAB,True,1,2,0,1,1:1
COYPOY,True,1,3,0,10,1:1
DAJBUN,True,1,3,0,10,1:1
DAMYEW,False,0,6,1,12,other_inorganic
DATLUG,True,2,1,0,8,other_organic
DAWLEU,True,1,1,0,1,other_organic
DEDPUY,True,1,2,0,10,1:1
DEFYUK,True,1,3,0,10,1:1
DEJLEK,True,1,3,0,10,1:1
DEJLIO,True,2,2,1,9,2:1
DEYDUG,False,0,6,0,12,other_inorganic
DIPKEU,True,1,1,0,1,other_organic
DITZOW,True,3,3,0,9,1:1
DIYCIY,True,1,3,0,1,1:1
DMSNDN10,False,0,3,0,10,other_inorganic
DMSNDN11,False,0,3,0,10,other_inorganic
DODVAT,True,2,3,0,10,1:1
DOSVAL,True,1,1,0,9,other_organic
DOXYEV,True,1,3,0,9,1:1
DOXYIZ,True,1,3,0,9,1:1
DOXYOF,True,1,3,0,9,1:1
DOYXEV,True,1,3,0,10,1:1
