CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ACUHIQ,True,1,3,0,10,1:1
AGIVUL,True,1,2,0,1,1:1
AHILEL,True,2,1,1,9,2:1
ALIRET,True,1,2,1,11,2:1
ANENAL,True,2,3,0,10,1:1
ARIBIN,True,2,2,0,8,1:1
AROLIE,True,2,3,0,10,1:1
ATEROI,True,2,3,0,10,1:1
ATOCOD,True,1,2,1,10,2:1
AWIROQ,True,4,1,0,1,other_organic
AYEJET,True,1,3,0,10,1:1
AYEZOT,True,2,3,0,1,1:1
AZIRUY,True,2,3,0,10,1:1
BAFYOX,True,2,2,0,9,1:1
BAJGUP,True,2,2,0,1,1:1
BAJJAY,True,1,1,1,9,2:1
BANFEF,True,2,3,0,10,1:1
BANVAN,True,4,3,0,10,1:1
BEHCAU,True,2,1,0,1,other_organic
BIPBEI,True,1,4,0,11,other_organic
BOWQOU,True,1,3,0,1,1:1
BOZVET,True,2,2,0,10,1:1
BUBXIH,True,2,1,2,10,2:1
BUCHOZ,True,2,2,1,8,2:1
BUXGOR,True,2,3,0,10,1:1
CEHYEU,True,1,3,0,11,1:1
CERZAD,True,2,3,0,10,1:1
CIQZUX,True,2,3,0,10,1:1
COHXEF,True,1,2,0,1,1:1
COZSOZ,False,0,3,0,10,other_inorganic
COZSOZ01,False,0,3,0,10,other_inorganic
CUCWOM,True,1,7,0,11,other_organic
DAXXIN,True,2,1,2,10,2:1
DIGLOV,True,1,2,1,11,2:1
DIPKIY,True,1,1,0,1,other_organic
DIYCEU,True,1,3,0,1,1:1
DORDIX,True,4,3,0,10,1:1
DUBKUJ,True,1,2,0,4,1:1
DUCHAK,True,1,3,0,10,1:1
DUGVEI,True,1,1,0,9,other_organic
DUXTUO,False,0,6,0,12,other_inorganic
ECABAL,True,2,3,0,10,1:1
ECABAL01,True,2,3,0,10,1:1
EJIPAO,True,1,3,0,10,1:1
ELUMOQ,True,1,2,0,10,1:1
ELUNIL,True,1,3,0,10,1:1
EVUFAC,True,2,3,0,10,1:1
EXASUR,True,2,3,0,10,1:1
FAMKOV,True,2,3,0,10,1:1
FATHUF,True,2,1,0,2,other_organic
FATSEZ,True,2,3,0,10,1:1
FATWOM,True,1,3,0,10,1:1
FATWOM10,True,1,3,0,10,1:1
FEDYAO,True,1,2,0,10,1:1
FEZYOC,True,1,3,0,10,1:1
FIGSOG,True,2,3,0,10,1:1
FOKYAH,True,3,1,0,1,other_organic
FOKYAH01,True,3,1,0,1,other_organic
FOLBUD,True,1,3,0,10,1:1
GADWUF,True,3,2,1,9,2:1
