CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ACUHUC,True,1,3,0,10,1:1
ADEXEP,True,1,1,1,1,2:1
AFICAW,True,4,1,0,10,other_organic
AGIWEW,True,1,2,0,1,1:1
AHIQAK,True,1,1,0,9,other_organic
AHIQEO,True,1,1,0,9,other_organic
AJILIQ,True,2,2,1,10,2:1
AMOHOA,True,1,1,4,9,other_organic
AMOJOC,True,1,2,1,10,2:1
AQAKOT,True,1,3,0,1,1:1
ARIDEL,True,1,3,0,10,1:1
AROMAX,True,2,3,0,10,1:1
ATOCUJ,True,1,3,0,1,1:1
AWIRUW,True,4,1,0,1,other_organic
AXAPEU,False,0,5,0,10,other_inorganic
AYEJIX,True,1,3,0,10,1:1
AYIROQ,True,1,3,0,10,1:1
AYIROQ01,True,1,3,0,10,1:1
AZISIM,False,0,2,0,8,other_inorganic
BAFZAK,True,2,2,0,9,1:1
BAMNIQ,True,1,1,0,2,other_organic
BANREP,True,1,0,0,10,other_organic
BAWNOE,True,2,3,0,8,1:1
BIYKEA,True,2,1,0,10,other_organic
BIYKIE,True,2,1,0,10,other_organic
BIZFIZ,True,2,3,0,10,1:1
BOCVUN,True,1,3,0,11,1:1
BOCWEY,True,1,2,1,11,2:1
BOKLOC,True,1,3,0,10,1:1
BOQZEP,True,3,3,0,9,1:1
BOQZIT,True,4,2,1,8,2:1
BOQZUF,True,3,3,0,9,1:1
BOVSUB,True,1,3,0,10,1:1
BUDFAK,True,1,3,0,10,1:1
BUXHAE,True,2,3,0,10,1:1
CAQFEF,True,1,4,0,11,other_organic
CASDUY,True,1,2,0,9,1:1
CASYAZ,True,1,3,0,10,1:1
CEHYIY,True,1,3,0,10,1:1
CELRUG,True,1,1,1,10,2:1
CEQGIP,False,0,3,0,10,other_inorganic
CIDJUU,True,3,3,0,9,1:1
CIDJUY,True,1,2,0,10,1:1
COHWUU,True,1,2,0,1,1:1
COLCIR,True,2,3,0,10,1:1
COPWIO,True,1,1,0,9,other_organic
DEMLIT,True,1,2,0,10,1:1
DIGMOV,False,0,2,0,8,other_inorganic
DIJZII,True,1,2,0,10,1:1
DIPKAQ,True,1,1,0,1,other_organic
DIYDIZ,True,1,3,0,1,1:1
DUCHEO,True,1,3,0,10,1:1
DUCMUJ,True,1,2,1,10,2:1
ECABIT,True,2,3,0,10,1:1
ECABIT01,True,2,3,0,10,1:1
EKULEE,True,1,2,0,10,1:1
ELUNAD,True,1,2,0,10,1:1
ENAWOI,True,1,4,0,1,other_organic
EQIWOT,False,0,3,0,10,other_inorganic
ETULIP,True,1,4,0,10,other_organic
ETUTEU,True,3,1,0,8,other_organic
EXADIR,True,1,3,0,10,1:1
FAHFOJ,True,4,3,0,10,1:1
FATXEE,True,2,3,0,10,1:1
FIGTAT,True,2,3,0,10,1:1
FOVNUZ,True,3,3,0,9,1:1
GAJJIO,True,1,2,0,10,1:1
GAJJOU,True,1,2,0,10,1:1
GAJKAH,True,1,2,0,10,1:1
GAJYEW,True,1,3,0,10,1:1
GAKBUQ,True,1,3,0,10,1:1
GANVOJ,True,1,3,0,10,1:1
GAYCOA,True,1,3,0,10,1:1
GEPFAM,True,2,3,0,1,1:1
GEZXUG,True,2,3,0,10,1:1
GIMYIO,True,1,3,0,9,1:1
GUCLUN,True,2,1,0,2,other_organic
GUDJEX,True,1,0,0,11,other_organic
GUDJIB,True,1,0,0,10,other_organic
GUDTEH,False,0,4,0,10,other_inorganic
GUDTIL,True,1,0,0,10,other_organic
GUDTOR,True,1,0,0,10,other_organic
GUDTUX,True,1,0,0,10,other_organic
GUDVAF,True,1,0,0,8,other_organic
GUFSOS,True,1,1,0,2,other_organic
HAGPAK,True,1,2,0,10,1:1
HALDOQ,True,2,1,2,10,2:1
HEMLAQ,False,0,5,0,10,other_inorganic
HEMMIZ,False,0,5,0,10,other_inorganic
HEPZAE,True,3,3,0,9,1:1
HERCOX,True,1,2,1,11,2:1
HIKQUP,True,2,2,0,1,1:1
HIQXIP,True,1,3,0,10,1:1
HOQHIG,True,1,3,0,10,1:1
HUKCOI,True,1,2,0,10,1:1
IJOCAM,True,2,3,0,11,1:1
IPONAD,True,2,1,0,9,other_organic
IWURUO,True,1,3,0,10,1:1
IWUSUP,True,1,3,0,10,1:1
IXEKAZ,True,1,3,0,10,1:1
IXULIX,True,3,3,0,9,1:1
IYUHAO,True,1,0,0,10,other_organic
IYUKUL,True,1,0,0,10,other_organic
JAPYEH,True,2,1,0,4,other_organic
JAWSIK,True,1,3,0,1,1:1
JENQIF,True,3,2,1,10,2:1
JEPTIL,True,2,3,0,1,1:1
JIZVOD,True,1,4,1,11,other_organic
JOKCUK,True,2,1,0,10,other_organic
JORMIP,True,2,2,0,10,1:1
JOSBIE,True,1,1,1,9,2:1
JOVGOT,True,1,2,0,10,1:1
JUDWUC,True,2,2,0,9,1:1
JUMFUU,True,1,3,0,10,1:1
KAWJAW,True,3,1,0,2,other_organic
KEKLIX,True,2,1,0,8,other_organic
KEKLOD,True,2,1,0,8,other_organic
KEWCEW,True,3,1,0,9,other_organic
KEWCUM,True,2,3,0,10,1:1
KEZYIZ,True,1,3,0,10,1:1
KIWFUS,True,1,3,0,10,1:1
