CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ACUDUZ,False,0,2,0,8,other_inorganic
ACUJIS,True,1,3,0,10,1:1
ADEXIT,True,1,1,1,1,2:1
ADORES,True,1,3,0,10,1:1
ADOSAP,True,1,3,0,10,1:1
AGIYUO,True,1,2,0,9,1:1
AHENOR,True,1,3,0,10,1:1
AHENUX,True,2,2,0,9,1:1
AHILOV,True,2,1,0,8,other_organic
AJOXUT,True,2,2,0,9,1:1
ALOXEF,True,1,3,0,1,1:1
AMOJES,True,1,1,4,9,other_organic
AMOKET,True,1,2,1,10,2:1
AQAHAD,True,2,1,0,9,other_organic
AQEXOL,True,1,3,0,10,1:1
AROMOL,True,2,3,0,10,1:1
ATINAU,True,1,2,0,1,1:1
ATINEY,True,1,2,0,2,1:1
ATIWEI,True,2,3,0,10,1:1
AXAPOE,False,0,5,0,10,other_inorganic
AYEJOD,True,1,3,0,10,1:1
BACRUV,True,1,2,0,1,1:1
BAFZOY,True,2,2,0,9,1:1
BAMZIB,True,1,3,0,10,1:1
BANRIT,True,1,0,0,10,other_organic
BAWPOG,True,2,3,0,8,1:1
BAYXEG,True,2,1,0,9,other_organic
BEBXOY,True,3,1,0,9,other_organic
BELDAB,True,1,3,0,2,1:1
BEMYAV,True,2,3,0,10,1:1
BERSIE,True,2,2,0,9,1:1
BEYQAZ,True,2,2,1,9,2:1
BIKQEU,True,2,2,0,9,1:1
BIMHUD,True,2,1,0,10,other_organic
BIPJOB,True,1,1,0,1,other_organic
BIPLOE,True,1,3,0,9,1:1
BIPYTB01,True,2,3,0,10,1:1
BIXYOY,True,1,2,0,9,1:1
BOKMUK,True,1,3,0,10,1:1
BOKNAR,True,1,2,0,12,1:1
BOPJUM,True,1,3,0,9,1:1
BOPKAT,True,3,2,0,10,1:1
BOQYIS,True,4,2,1,8,2:1
BOQZAL,True,4,2,1,8,2:1
BORBAO,True,4,2,1,8,2:1
BOVRAG,True,1,3,0,10,1:1
BUSSUF,True,1,1,0,2,other_organic
BUXZEA,True,1,3,0,10,1:1
CAQFAB,True,1,4,0,11,other_organic
CASFIO,True,1,2,0,9,1:1
CATBOR,True,1,1,1,10,2:1
CAWZAD,True,1,3,0,10,1:1
CIGYUO,True,1,3,0,11,1:1
COBKIP,True,3,1,0,8,other_organic
COHWII,True,1,2,0,1,1:1
CUNBOE,True,1,2,0,9,1:1
DAGBIA,True,1,2,1,9,2:1
DAGCAT,True,1,2,0,9,1:1
DASBAC,True,1,3,0,10,1:1
DAYZEK,True,1,3,0,10,1:1
DEGLEJ,True,2,1,0,1,other_organic
DEMLOZ,True,1,2,0,10,1:1
DEMQEU,True,1,3,0,10,1:1
DEMQIY,True,1,3,0,10,1:1
DESVEF,True,4,1,0,2,other_organic
DIQBEK,True,2,1,0,10,other_organic
DITZUC,True,3,3,0,9,1:1
DOFRIC,True,2,3,0,8,1:1
DOVXAO,True,1,3,0,10,1:1
DUCQEX,True,1,2,1,9,2:1
EBUMOH,True,2,1,0,2,other_organic
ECIZIB,True,2,1,0,9,other_organic
EFOCAF,True,1,3,0,10,1:1
EFOKUF,True,1,2,0,1,1:1
EFOLOA,True,2,3,0,1,1:1
EKETUL,True,2,1,0,1,other_organic
ELIYOO,True,1,3,0,1,1:1
EMUCUM,True,1,2,0,9,1:1
ENEMOC,True,2,3,0,10,1:1
EPAZAZ,True,2,3,0,9,1:1
ERIHOD,True,1,4,0,10,other_organic
ETALUJ,True,2,1,0,1,other_organic
EVAGAL,True,1,1,2,9,2:1
EXIMIJ,True,1,3,0,10,1:1
EXIMUV,True,1,3,0,10,1:1
EYUQIA,True,1,3,0,10,1:1
FAZGIX,True,1,2,0,9,1:1
FEBNUZ,True,1,1,0,1,other_organic
FEMTOG,True,1,2,1,9,2:1
FIJDUY,True,1,1,0,1,other_organic
FIJQEV,True,1,2,0,10,1:1
GAJYOG,True,1,3,0,10,1:1
GAKCEB,True,1,3,0,10,1:1
GANVEZ,True,1,3,0,10,1:1
GAWPUR,True,1,2,0,9,1:1
GEFSUJ,True,2,1,0,10,other_organic
GEFTAQ,True,2,1,0,10,other_organic
GEMVUS,True,1,1,1,9,2:1
GENFEM,True,1,1,0,9,other_organic
GENFIQ,True,1,1,0,9,other_organic
GENFOW,True,1,1,0,9,other_organic
GEPFIU,True,2,3,0,1,1:1
GETQAY,True,4,1,0,8,other_organic
GICBUR,True,2,1,0,9,other_organic
GIFFOU,True,1,3,0,9,1:1
GIMYOU,True,1,3,0,9,1:1
GOBQEV,True,2,2,0,1,1:1
GOSSAK,True,1,5,0,10,other_organic
GOYLEN,True,3,1,0,2,other_organic
GUTYEA,True,1,1,0,1,other_organic
HALFAE,True,2,1,2,10,2:1
HANYAA,True,1,0,0,10,other_organic
HASTEE,True,2,3,0,10,1:1
HAVLEX,True,2,3,0,10,1:1
HAWKID,True,1,3,0,9,1:1
HEMKIX,False,0,5,0,10,other_inorganic
HENROK,False,0,5,0,10,other_inorganic
HEPZOS,True,3,3,0,9,1:1
HETFOE,True,1,2,1,9,2:1
HETGEV,True,1,2,1,9,2:1
HITZUI,True,3,3,0,9,1:1
HIVNEF,True,1,2,0,9,1:1
HOTMUA,True,1,2,0,1,1:1
HUDWAG,True,2,2,0,1,1:1
HUWNAO,True,1,3,0,10,1:1
IBIYAU,True,1,3,0,1,1:1
IBOWII,True,2,3,0,10,1:1
IFAZIB,True,1,1,0,1,other_organic
IFAZOH,True,1,1,0,2,other_organic
IMAGIP,True,1,2,0,9,1:1
IMAHOW,True,1,2,0,9,1:1
IMAHUC,True,1,2,0,9,1:1
IPOMOQ,True,2,1,0,9,other_organic
IPONIL,True,1,1,0,9,other_organic
IQEHIX,True,1,5,0,10,other_organic
ITOMUC,True,2,2,0,1,1:1
IWUREY,True,1,3,0,9,1:1
IWUSAV,True,1,3,0,10,1:1
IWUTEA,True,1,1,2,9,2:1
IXAZAL,True,2,1,0,8,other_organic
IXEKED,True,1,3,0,10,1:1
IXOKIS,True,1,1,0,9,other_organic
IYEWUH,True,1,3,0,10,1:1
IYUHOC,True,1,0,0,10,other_organic
JALHUC,True,2,2,1,10,2:1
JALJAK,True,2,1,2,9,2:1
JAPYUX,True,2,1,0,2,other_organic
JASYIO,True,1,1,0,9,other_organic
JASYOU,True,1,1,0,9,other_organic
JAWXEO,True,3,2,1,9,2:1
JEPTUX,True,2,3,0,1,1:1
JISYAP,True,5,6,0,8,other_organic
JIVTEO,True,1,1,2,8,2:1
JIVTIS,True,1,1,1,8,2:1
JIWDAX,True,1,3,0,1,1:1
JOCNOF,True,1,3,0,2,1:1
JOKDAR,True,2,1,0,10,other_organic
JOKPOR,True,2,3,0,10,1:1
JONGOK,True,2,2,0,2,1:1
JOQGON,True,1,3,0,1,1:1
JOQGUT,True,1,3,0,1,1:1
JORMAH,True,2,2,1,10,2:1
JUGZES,True,1,2,0,9,1:1
KADCIE,True,3,3,0,9,1:1
KEGCAD,True,1,1,0,1,other_organic
KEHMUH,False,0,4,0,1,other_inorganic
KEXSAL,True,1,2,0,10,1:1
KINHAT,True,3,2,0,10,1:1
KISLOQ,True,2,1,0,2,other_organic
KITQIP,True,1,2,0,10,1:1
KIWGUT,True,1,3,0,10,1:1
KULVET,True,2,1,0,1,other_organic
KUNSIW,True,1,1,0,9,other_organic
KUVYEI,True,1,3,0,10,1:1
LAWCUK,True,2,2,0,1,1:1
LECJAH,True,2,3,0,10,1:1
LEQFIA,True,1,3,0,10,1:1
LETNIJ,True,1,2,0,9,1:1
LEVFIE,True,2,2,0,9,1:1
LEVFOK,True,1,3,0,10,1:1
LEXPAJ,True,1,2,1,10,2:1
LEYCAW,True,1,1,0,2,other_organic
LEYHOM,False,0,3,0,9,other_inorganic
LEYHOM01,False,0,3,0,9,other_inorganic
LICDOU,True,1,1,0,9,other_organic
LIFJEP,True,2,2,1,10,2:1
LILKEX,True,1,3,0,9,1:1
LIQCAR,True,1,2,0,9,1:1
LIRTOY,True,1,0,0,10,other_organic
LIWQOX,True,1,3,0,1,1:1
LIZJAI,True,2,2,1,10,2:1
LUQDOQ,True,1,3,0,10,1:1
LUSFIO,True,2,1,0,2,other_organic
LUWDUC,True,2,3,0,10,1:1
LUWDUC01,True,2,3,0,10,1:1
LUWDUC03,True,2,3,0,10,1:1
LUXBUD,True,1,3,0,10,1:1
MABKUZ,True,1,2,0,9,1:1
MABLUY,True,1,3,0,10,1:1
MACFON,True,1,1,0,8,other_organic
MAJNET,True,1,1,0,3,other_organic
MALKEP,True,2,2,0,10,1:1
MANMAT,True,1,3,0,1,1:1
MAWXIS,True,3,3,0,9,1:1
MEFVAY,True,2,3,0,9,1:1
MEHZOR,True,2,3,0,10,1:1
METSUA,True,2,3,0,10,1:1
MEZLAH,False,0,5,0,10,other_inorganic
MIMKAX,True,3,1,0,8,other_organic
MIMKUR,True,3,1,0,8,other_organic
MIQGIG,True,1,3,0,10,1:1
MUCSAF,True,2,3,0,10,1:1
NAFDOO,True,1,2,1,10,2:1
NASTUW,True,1,2,1,10,2:1
NAXRAF,True,2,1,0,10,other_organic
NEGRUN,True,1,3,0,10,1:1
NINREK,True,1,3,0,10,1:1
NIQFAW,True,1,2,1,10,2:1
NOVCOS,True,1,1,0,8,other_organic
NUDGUQ,True,2,2,0,9,1:1
NULMUF,True,1,1,0,9,other_organic
NUTYUX,True,1,1,0,8,other_organic
NUTYUX01,True,1,1,0,8,other_organic
NUTYUY,True,2,1,0,9,other_organic
OCEJOY,True,1,3,0,10,1:1
OCOFAQ,False,0,3,0,9,other_inorganic
OGIBIQ,True,2,1,0,10,other_organic
ONOMOV,True,2,2,0,9,1:1
OSIWAQ,True,1,3,0,9,1:1
OSIWEU,True,1,3,0,9,1:1
OVEKEG,True,1,3,0,10,1:1
OVEWAQ,True,1,1,0,1,other_organic
OXIVAT,True,4,1,0,8,other_organic
OZOXIL,True,1,2,1,9,2:1
PARRAD,True,1,3,0,9,1:1
PARRIL,True,1,3,0,6,1:1
PAVVOA,False,0,3,0,9,other_inorganic
PERFID,True,1,2,1,10,2:1
PIFTEE,True,1,2,1,10,2:1
PIGRUV,True,2,1,0,9,other_organic
PIVPOA,True,1,1,2,2,2:1
PIWCOO,True,1,3,0,9,1:1
PIYFAI,True,1,2,0,9,1:1
POGYUI,True,2,1,2,9,2:1
POTFEL,True,3,3,0,9,1:1
POTFUB,True,3,3,0,10,1:1
POTHAI,True,1,2,0,1,1:1
POVRUQ,True,2,1,0,8,other_organic
