CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ACUKEP,True,1,3,0,10,1:1
AXAQIZ,False,0,5,0,10,other_inorganic
BAGBIV,True,2,2,0,9,1:1
BAYYAD,True,2,1,0,9,other_organic
BOVJED,True,1,1,0,1,other_organic
BUXHIM,True,2,3,0,10,1:1
COBKEL,True,3,1,0,8,other_organic
DADYEP,False,0,4,0,10,other_inorganic
DAJSAM,True,2,1,0,9,other_organic
DAMSUI,True,1,2,0,9,1:1
DUCSAV,True,1,2,1,9,2:1
EFASOW,True,1,2,1,9,2:1
EFOBIM,True,1,3,0,9,1:1
FENWOK,False,0,3,0,9,other_inorganic
GAJZIB,True,1,3,0,10,1:1
GAKDAY,True,1,3,0,10,1:1
GOBRAS,True,2,2,0,1,1:1
HEMJOC,False,0,5,0,10,other_inorganic
HEMLOE,False,0,5,0,10,other_inorganic
HEQBIP,True,3,3,0,9,1:1
IWURIC,True,1,3,0,9,1:1
IXULOD,True,3,3,0,9,1:1
IYUJIY,True,1,0,0,10,other_organic
JIWDUR,True,1,3,0,1,1:1
JORNOW,True,2,3,0,10,1:1
KUNTET,True,1,1,0,9,other_organic
LAQPEC,True,1,2,0,10,1:1
LEYJOO,False,0,3,0,9,other_inorganic
MALLIU,True,1,3,0,9,1:1
MALLOA,True,1,3,0,9,1:1
MALNOE,True,1,0,2,9,3:1
MAZNEJ,True,1,3,0,9,1:1
MEDNAK,True,1,2,2,10,2:1
MUCTEK,True,2,3,0,10,1:1
NAFFOQ,True,1,2,1,10,2:1
NINCAP,True,3,3,0,8,1:1
NUTZOS,True,1,1,0,8,other_organic
OVEWEU,True,1,1,0,1,other_organic
POTFAH,True,3,3,0,9,1:1
RAQDES,False,0,3,0,9,other_inorganic
REJHAS,True,1,2,0,9,1:1
RIYLUJ,False,0,5,0,10,other_inorganic
SAQDUK,True,1,3,0,10,1:1
TIJPIP,False,0,5,0,10,other_inorganic
TUPVOS,True,1,3,0,1,1:1
TUPYUY,True,3,3,0,9,1:1
UBENIA,True,1,1,2,8,2:1
UDASIE,True,2,3,0,10,1:1
UDASIE02,True,2,3,0,10,1:1
UDIBAL,True,1,2,1,10,2:1
UPEMAG,True,1,1,0,1,other_organic
UXAWEX,True,1,1,0,1,other_organic
VITWOO,True,1,3,0,9,1:1
VITWUU,True,1,3,0,9,1:1
VOHDAA,True,1,3,0,9,1:1
WAGKEY,True,3,3,0,9,1:1
WUWFAX,True,3,3,0,9,1:1
ZERMOA,True,2,1,0,1,other_organic
ZOLBOU,False,0,3,0,10,other_inorganic
