CSD_Code,Contains_Organic_Ligand,Num_Organic_Ligands,Num_Nitrate_FS,Num_Nitrate_SS,Coordination_Number,Complex_Type
ABODEC,True,1,2,1,10,2:1
ACUKIT,True,1,3,0,10,1:1
ACUKOZ,True,2,3,0,9,1:1
ADEXOZ,True,1,1,1,1,2:1
ARUQEJ,True,1,3,0,9,1:1
AXAQOF,False,0,5,0,10,other_inorganic
BAJJEC,True,1,1,1,8,2:1
BANGAC,True,2,3,0,10,1:1
BANROZ,True,1,0,0,10,other_organic
BAYYEH,True,2,1,0,9,other_organic
BEPJAL,True,1,3,0,9,1:1
BIDNAE,True,3,3,0,9,1:1
BIVSOO,False,0,3,2,10,other_inorganic
BOBQOB,True,1,2,0,9,1:1
BUCHAL,True,1,3,0,9,1:1
CAQGAC,True,1,3,0,9,1:1
CEYGAR,True,1,2,1,9,2:1
CIMVUT,True,1,3,0,9,1:1
CIMVUT01,True,1,3,0,9,1:1
CIMVUT02,True,1,3,0,9,1:1
CIWDUJ,True,1,3,0,1,1:1
COZBEB,True,1,3,0,9,1:1
DADYIT,False,0,4,0,10,other_inorganic
DAJSEQ,True,1,3,0,9,1:1
DOFREY,True,2,3,0,8,1:1
DOSVEP,True,1,1,0,9,other_organic
DUCSEZ,True,1,2,1,9,2:1
DUCTOK,True,1,3,0,9,1:1
ECOZON,True,1,3,0,10,1:1
EFASUC,True,1,2,1,9,2:1
EFIZIC,True,2,3,0,9,1:1
EFIZUO,True,1,2,1,9,2:1
EFOBOS,True,1,3,0,9,1:1
ENIYAC,True,1,0,0,9,other_organic
ENIYEG,True,1,0,1,9,3:1
ETUSUJ,True,3,1,0,8,other_organic
EXULIT,True,2,3,0,9,1:1
EXULUF,True,2,3,0,9,1:1
EXUMAM,True,2,3,0,9,1:1
FEWQEE,True,1,3,0,9,1:1
FONQUU01,True,2,2,0,9,1:1
FUGHOF,True,2,3,0,8,1:1
GAJZOH,True,1,3,0,10,1:1
GAKDEC,True,1,3,0,10,1:1
